Carbon;IR;Tact;tact;SBET;Vtotal;Vmicro;Davg;PSDavg;j;Cs
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;16,44736842;108,9638158
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;14,80263158;113,7952303
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;13,15789474;118,5855263
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;11,51315789;123,4786184
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;9,868421053;128,2894737
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;8,223684211;133,7376645
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;6,578947368;138,9802632
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;4,934210526;142,7837171
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;3,289473684;150,9046053
A6;2;45;950;1887,73;1,0994;0,9819;2,4;1,2;1,644736842;159,3338816
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;19,48051948;84,98376623
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;17,85714286;89,73214286
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;16,23376623;94,15584416
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;14,61038961;98,98538961
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;12,98701299;103,7337662
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;11,36363636;108,9488636
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;9,74025974;114,3262987
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;8,116883117;120,0284091
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;6,493506494;125,8928571
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;4,87012987;132,711039
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,26;3,246753247;139,6103896
A7;4,64;45;752;2561,85;1,4868;1,3046;2,3;1,263;1,623376623;149,9594156
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;19,8019802;58,04455446
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;18,15181518;63,75825083
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;16,50165017;69,30693069
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;14,85148515;75,18564356
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;13,20132013;82,34323432
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;11,55115512;89,16047855
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;9,900990099;96,84405941
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;8,250825083;105,0433168
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;6,600660066;113,9851485
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;4,95049505;123,2363861
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;3,300330033;133,539604
A8;4,62;94,3;950;1948,52;1,178;0,9596;2,4;1,3585;1,650165017;145,8436469
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;19,86754967;48,5513245
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;18,21192053;50,65190397
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;16,55629139;52,35927152
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;14,90066225;54,29428808
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;13,24503311;56,04304636
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;11,58940397;57,94701987
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;9,933774834;59,85099338
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;8,278145695;61,87913907
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;6,622516556;64,11423841
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;4,966887417;66,33899007
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;3,311258278;68,72930464
A9;2;94,5;752,9;1984,52;1,0996;1,0422;2,2;0,715;1,655629139;72,35099338
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;19,73684211;38,85690789
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;18,09210526;46,58717105
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;16,44736842;54,89309211
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;14,80263158;63,28125
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;13,15789474;75
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;11,51315789;82,67886513
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;9,868421053;93,62664474
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;8,223684211;106,4967105
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;6,578947368;121,9983553
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;4,934210526;140,9025493
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;3,289473684;166,6324013
A10 ;3,669655895;120;650;1300,87;0,7596;0,6937;2,4;0,76;1,644736842;203,5567434
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;19,73684211;150,1233553
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;18,09210526;159,6628289
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;16,44736842;169,5106908
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;14,80263158;178,464227
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;13,15789474;189,5559211
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;11,51315789;200,0411184
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;9,868421053;210,0740132
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;8,223684211;220,4975329
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;6,578947368;231,0855263
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;4,934210526;240,8511513
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;3,289473684;252,4671053
A11;3,8;78,75;815;3131,11;1,9895;1,5815;2,5;0,781;1,644736842;267,8865132
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;19,8019802;104,8267327
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;18,15181518;113,2219472
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;16,50165017;123,1435644
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;14,85148515;133,0136139
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;13,20132013;144,0594059
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;11,55115512;156,6625413
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;9,900990099;170,7920792
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;8,250825083;184,0965347
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;4,95049505;213,799505
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;3,300330033;231,8481848
A12;2;45;650;1676,38;0,9408;0,8861;2,3;0,71;1,650165017;256,2912541
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;19,86754967;54,13907285
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;18,21192053;60,32698675
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;16,55629139;66,22516556
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;14,90066225;71,89569536
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;13,24503311;78,31125828
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;11,58940397;85,32698675
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;9,933774834;92,63245033
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;8,278145695;100,8899007
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;6,622516556;110,513245
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;4,966887417;122,9304636
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;3,311258278;142,7980132
A13;6;76,875;650;1468,55;0,8124;0,7788;2,3;0,78;1,655629139;183,1539735
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;19,73684211;147,5328947
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;18,09210526;153,3305921
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;16,44736842;159,9506579
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;14,80263158;165,9745066
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;13,15789474;171,0526316
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;11,51315789;178,4539474
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;9,868421053;185,0328947
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;8,223684211;191,2006579
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;6,578947368;199,0131579
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;4,934210526;209,7039474
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;3,289473684;218,75
A14;3,82;78,75;815;3777,71;2,3001;1,9077;2,4;1,2385;1,644736842;231,2911184
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;1,7;251,65
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;2;252,91
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;3,3;226,9
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;5;211,94
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;6,6;208,33
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;8,3;195,96
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;9,9;184,41
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;11,6;173,27
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;13,2;162,13
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;14,9;152,69
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;16,5;142,84
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;18,2;133,87
Aop;3,66;120;650;2000;1,2397;1,0771;2,5;0,9315;19,8;123,76
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
